parkcode,quarter,restype,nightsinpark,nightsinhalo,VMTinPark,VMTimHalo,parkVMT_Sun,haloVMT_Sun,parkVMT_Mon,haloVMT_Mon,parkVMT_Tue,haloVMT_Tue,parkVMT_Wed,haloVMT_Wed,parkVMT_Thu,haloVMT_Thu,parkVMT_Fri,haloVMT_Fri,parkVMT_Sat,haloVMT_Sat
zion,3,2,3,13,257.54117599,20388.67534047,38.13124201,3018.72316405,38.04034513,3011.52716127,36.73748982,2908.38445483,35.82852100,2836.42442708,35.64672723,2822.03242153,35.98001580,2848.41776504,37.17682475,2943.16513491
zion,3,2,3,14,225.30489811,18768.17030627,32.98213449,2747.45166414,33.13233776,2759.96377798,32.85696510,2737.02490261,31.86812691,2654.65348649,31.07955975,2588.96488883,31.15466139,2595.22094575,32.23111815,2684.89109494
zion,3,2,3,15,1367.83519162,119598.99090089,198.40808506,17348.14757268,199.05600696,17404.79972368,198.76804167,17379.62098990,197.68817183,17285.20073824,191.78488338,16769.03669580,188.54527386,16485.77594080,193.58466644,16926.40378191
zion,3,2,4,0,52044.91171237,433218.70606186,7942.05390454,66109.17768506,7817.14611049,65069.45274112,6974.01850071,58051.30936958,6745.02087829,56145.14697237,7275.87900298,60563.97798408,7608.96645376,63336.57783457,7629.78441943,63509.86532523
zion,3,2,4,1,22584.86982640,730439.59670399,3274.80620412,105913.74408672,3335.03252512,107861.58305842,3308.68350968,107009.40350830,3319.97594487,107374.62331550,3252.22133375,105183.30447232,3011.31604977,97391.94858549,3082.83480595,99705.00736439
zion,3,2,4,2,13426.96012222,543505.27609709,1918.13713977,77643.61003943,1918.13713977,77643.61003943,1918.13713977,77643.61003943,1918.13713977,77643.61003943,1918.13713977,77643.61003943,1918.13713977,77643.61003943,1918.13713977,77643.61003943
zion,3,2,4,3,7250.48561443,328399.96885045,1070.35291491,48480.04431793,1024.13107015,46386.49456331,1009.63009924,45729.69464029,1015.97427401,46017.04460661,1013.25534197,45893.89462104,1029.56893424,46632.79453444,1087.57281785,49259.99422652
zion,3,2,4,4,3999.48715153,199554.10332041,613.69909889,30620.46926207,582.59197585,29068.38175421,552.81801522,27582.81228241,548.81852797,27383.25817426,550.59607786,27471.94888899,557.26188994,27804.53906925,593.70166265,29622.69872130
zion,3,2,4,5,2339.54876822,127722.21736316,354.90956500,19375.46129428,353.50583567,19298.82796022,333.38571531,18200.41683872,319.34842203,17434.08349815,316.54096337,17280.81683003,321.68797091,17561.80572158,340.17040706,18570.81128667
zion,3,2,4,6,1489.01228430,88422.40679827,221.32137284,13142.78509921,222.94574989,13239.24590728,219.96772530,13062.40109249,209.27390973,12427.36743938,200.74593023,11920.94819702,201.55811875,11969.17860106,213.19948760,12660.48105887
zion,3,2,4,7,1021.21151299,65597.98805473,149.43728835,9599.17248445,150.20319701,9648.37097668,149.86279316,9626.50498013,148.58627874,9544.50749308,141.60799990,9096.25456385,137.77845663,8850.26210269,143.73552393,9232.91704227
zion,3,2,4,8,567.40294416,39219.59079581,81.61873127,5641.58729665,82.31707336,5689.85756229,82.01154870,5668.73932107,82.14248784,5677.78999588,81.35685299,5623.48594704,78.56348465,5430.40488448,79.39276588,5487.72582492
zion,3,2,4,9,377.68391437,27957.09540231,53.95484433,3993.87072898,53.95484433,3993.87072898,53.95484433,3993.87072898,53.95484433,3993.87072898,53.95484433,3993.87072898,53.95484433,3993.87072898,53.95484433,3993.87072898
zion,3,2,4,10,271.82485294,21455.23945093,39.52333319,3119.59178275,38.59912870,3046.64396940,38.30918220,3023.75838090,38.43603379,3033.77082587,38.38166882,3029.47977803,38.70785864,3055.22606509,39.86764467,3146.76841910
zion,3,2,4,11,211.24664371,17710.50837776,31.43614046,2635.54496906,30.51193642,2558.06149664,29.62734112,2483.89874446,29.50851488,2473.93658372,29.56132654,2478.36421072,29.75937027,2494.96781195,30.84200929,2585.73416536
zion,3,2,4,12,162.66950575,14435.38981780,24.08465469,2137.28674852,24.02724192,2132.19190526,23.20432563,2059.16581850,22.63019799,2008.21738587,22.51537246,1998.02769935,22.72588593,2016.70879131,23.48182066,2083.79089426
zion,3,2,4,13,122.30753469,11452.20180844,17.90446454,1676.47513866,17.98600290,1684.10994005,17.83651591,1670.11280417,17.29972171,1619.85036168,16.87164533,1579.76765438,16.91241451,1583.58505508,17.49677275,1638.30113171
zion,3,2,4,14,106.98392905,10539.81432257,15.51829974,1528.82773407,15.56897633,1533.82027747,15.54645340,1531.60136930,15.46199241,1523.28046363,15.00027232,1477.79284600,14.74688934,1452.83012901,15.14104064,1491.66102211
zion,3,2,4,15,649.19671209,67127.89311699,93.15973261,9632.85311982,93.67909000,9686.55543687,93.45187114,9663.06067316,93.54925065,9673.12985761,92.96497359,9612.71475093,90.88754401,9397.90548276,91.50428091,9461.67698425
zion,3,2,5,0,30234.77787374,296279.75168916,4384.04289785,42960.56503519,4464.66897413,43750.64439216,4429.39506576,43404.98467349,4444.51245506,43553.12455292,4353.80811924,42664.28527633,4031.30381411,39503.96784845,4127.04727970,40442.18708485
zion,3,2,5,1,12551.09080356,465068.19154813,1793.01295273,66438.31236674,1793.01295273,66438.31236674,1793.01295273,66438.31236674,1793.01295273,66438.31236674,1793.01295273,66438.31236674,1793.01295273,66438.31236674,1793.01295273,66438.31236674
zion,3,2,5,2,7282.22946888,336682.95821071,1075.03910131,49702.82059491,1028.61488949,47556.46678429,1014.05043088,46883.10088292,1020.42238152,47177.69846477,1017.69154553,47051.44235827,1034.07656147,47808.97899731,1092.33439592,50502.44260279
zion,3,2,5,3,3878.93938512,200405.43974899,595.20171340,30751.10211055,565.03218411,29192.39309698,536.15563466,27700.48589828,532.27669518,27500.08045368,534.00066828,27589.14954017,540.46556741,27923.15861450,575.80701600,29749.07488754
zion,3,2,5,4,2124.20084981,120809.98276581,322.24128422,18326.87525605,320.96676365,18254.38926295,302.69863547,17215.42336182,289.95342977,16490.56343079,287.40438863,16345.59144459,292.07763072,16611.37341930,308.85881823,17565.77232848
zion,3,2,5,5,1237.60227989,76979.91999104,183.95270375,11442.01545774,185.30281534,11525.99355285,182.82761076,11372.03371182,173.93937615,10819.17791907,166.85129031,10378.29291978,167.52634611,10420.28196733,177.20214582,11022.12498223
zion,3,2,5,6,785.80054380,53151.17820967,114.98881569,7777.78926635,115.57816612,7817.65265097,115.31623260,7799.93559114,114.33398189,7733.49661677,108.96434471,7370.29689021,106.01759260,7170.97996709,110.60142922,7481.02851416
zion,3,2,5,7,538.09667988,39362.48536776,77.40313787,5662.14213125,78.06541071,5710.58826713,77.77566634,5689.39308268,77.89984250,5698.47673316,77.15478556,5643.97483029,74.50569421,5450.19028677,75.29214320,5507.72007313
zion,3,2,5,8,298.68815999,23507.76936223,42.66973669,3358.25273007,42.66973669,3358.25273007,42.66973669,3358.25273007,42.66973669,3358.25273007,42.66973669,3358.25273007,42.66973669,3358.25273007,42.66973669,3358.25273007
zion,3,2,5,9,198.70562528,16745.81761505,28.89179761,2434.84185515,28.21619849,2377.90607587,28.00424582,2360.04387060,28.09697511,2367.85858541,28.05723399,2364.50942192,28.29568074,2384.60440284,29.14349140,2456.05322390
zion,3,2,5,10,142.95678605,12845.25359520,21.27375625,1911.53425791,20.64832032,1855.33627469,20.04968880,1801.54677646,19.96927560,1794.32132147,20.00501480,1797.53263480,20.13903678,1809.57505978,20.87169030,1875.40698298
zion,3,2,5,11,111.06652891,10599.52624102,16.44437895,1569.35332273,16.40517900,1565.61231362,15.84331305,1511.99118301,15.45131355,1474.58109188,15.37291365,1467.09907365,15.51664680,1480.81610707,16.03277948,1530.07272705
zion,3,2,5,12,85.50780449,8637.01934250,12.51739279,1264.36369548,12.57439800,1270.12170851,12.46988846,1259.56535128,12.09460419,1221.65843214,11.79532687,1191.42886371,11.82382947,1194.30787022,12.23236677,1235.57363030
zion,3,2,5,13,64.28091907,6850.64612678,9.32411605,993.70420336,9.35456490,996.94924611,9.34103208,995.50700489,9.29028399,990.09860030,9.01286108,960.53265521,8.86061681,944.30744143,9.09744124,969.54666286
zion,3,2,5,14,56.22001419,6303.76715718,8.06757242,904.59063002,8.11254843,909.63364399,8.09287143,907.42732538,8.10130443,908.37289050,8.05070641,902.69949978,7.87080236,882.52744392,7.92421138,888.51602301
zion,3,2,5,15,341.00099542,40128.89745604,48.71442739,5732.69957518,48.71442739,5732.69957518,48.71442739,5732.69957518,48.71442739,5732.69957518,48.71442739,5732.69957518,48.71442739,5732.69957518,48.71442739,5732.69957518
zion,3,2,6,0,19103.39291004,213439.15778114,2729.05610078,30491.30792788,2729.05610078,30491.30792788,2729.05610078,30491.30792788,2729.05610078,30491.30792788,2729.05610078,30491.30792788,2729.05610078,30491.30792788,2729.05610078,30491.30792788
zion,3,2,6,1,7572.50758582,312670.46102969,1117.89140737,46157.97577780,1069.61667259,44164.70163329,1054.47165776,43539.36072520,1061.09760175,43812.94737249,1058.25791147,43695.69595222,1075.29605315,44399.20447382,1135.87611248,46900.56810614
zion,3,2,6,2,4289.49341244,220490.95329735,658.19894956,33833.11265299,624.83622221,32118.18297470,592.90332603,30476.75028263,588.61383252,30256.25932400,590.52027408,30354.25530561,597.66942994,30721.74023667,636.75148198,32730.65785980
zion,3,2,6,3,2254.92472619,129399.20879714,342.07209721,19629.86090690,340.71914231,19552.22137793,321.32678874,18439.38812942,307.79723974,17662.99283976,305.09132994,17507.71378183,310.05216458,17792.39205470,327.86607076,18814.64585275
zion,3,2,6,4,1226.34285865,77426.96500805,182.27914431,11508.46260390,183.61697289,11592.92838448,181.16428716,11438.07445342,172.35691566,10882.00806461,165.33331560,10438.56271657,166.00222990,10480.79560686,175.59000140,11086.13370101
zion,3,2,6,5,711.78537359,49133.71201605,104.15792886,7189.90003245,104.69176790,7226.75031735,104.45450610,7210.37241295,103.56477436,7148.95527144,98.70090753,6813.20823120,96.03171231,6628.95680668,100.18379376,6915.57013372
zion,3,2,6,6,450.92479661,33841.33338857,64.86379773,4867.94565350,65.41878209,4909.59652541,65.17597643,4891.37426895,65.28003600,4899.18380743,64.65567859,4852.32657654,62.43574113,4685.72308893,63.09478506,4735.18349932
zion,3,2,6,7,308.33422999,25022.01643653,44.04774667,3574.57373836,44.04774667,3574.57373836,44.04774667,3574.57373836,44.04774667,3574.57373836,44.04774667,3574.57373836,44.04774667,3574.57373836,44.04774667,3574.57373836
zion,3,2,6,8,170.99591133,14928.31273202,24.86280524,2170.57664799,24.28141915,2119.82038524,24.09902351,2103.89685183,24.17882160,2110.86339770,24.14462242,2107.87773519,24.34981751,2125.79171027,25.07940006,2189.48584391
zion,3,2,6,9,113.69651138,10627.72103407,16.91946172,1581.53770103,16.42203950,1535.04142255,15.94593536,1490.53784171,15.88198108,1484.55974876,15.91040521,1487.21667896,16.01699568,1497.18016721,16.59969029,1551.64723629
zion,3,2,6,10,81.76830938,8148.77775492,12.10651921,1206.49839956,12.07765980,1203.62236047,11.66400837,1162.39913347,11.37541435,1133.63874254,11.31769555,1127.88666435,11.42351336,1138.43214102,11.80349548,1176.29998908
zion,3,2,6,11,63.51085684,6722.00297433,9.29728399,984.02657035,9.33962456,988.50790577,9.26200018,980.29212416,8.98325808,950.78999928,8.76097008,927.26298830,8.78214036,929.50365601,9.08558113,961.61989322
zion,3,2,6,12,48.88570364,5476.07284519,7.09099964,794.31874066,7.11415602,796.91266979,7.10386429,795.75981240,7.06527032,791.43659719,6.85428992,767.80302073,6.73850800,754.83337511,6.91861322,775.00837941
zion,3,2,6,13,36.74440447,4342.64755243,5.27282229,623.16995337,5.30221782,626.64407158,5.28935727,625.12414486,5.29486894,625.77554203,5.26179897,621.86715904,5.14421687,607.97068622,5.17912406,612.09620159
zion,3,2,6,14,32.13265271,3995.36686922,4.59037891,570.76668949,4.59037891,570.76668949,4.59037891,570.76668949,4.59037891,570.76668949,4.59037891,570.76668949,4.59037891,570.76668949,4.59037891,570.76668949
zion,3,2,6,15,194.81865724,25422.50837127,28.16900695,3675.86362159,27.71738188,3616.92962452,27.57569558,3598.44052739,27.63768333,3606.52950738,27.61111715,3603.06280167,27.77051424,3623.86303594,28.33725943,3697.81942443
zion,3,2,7,0,13886.24542279,172990.84979532,2049.95693472,25537.77363022,1961.43212213,24434.95698742,1933.65963190,24088.97529557,1945.81009638,24240.34228575,1940.60275446,24175.47071853,1971.84680596,24564.70012187,2082.93676686,25948.62688930
zion,3,2,7,1,5248.02315028,236868.06786834,805.28001623,36346.08996078,764.46205740,34503.78272164,725.39343967,32740.43150704,720.14541639,32503.56343343,722.47787118,32608.83813281,731.22457665,33003.61825548,779.03989984,35161.74959276
zion,3,2,7,2,2903.67424334,162865.09875431,440.48740364,24706.63665453,438.74519901,24608.91759064,413.77359933,23208.27767482,396.35155304,22231.08703588,392.86714378,22035.64890810,399.25522742,22393.95214237,422.19425504,23680.58648364
zion,3,2,7,3,1507.22971425,94305.53424363,224.02914540,14017.23177540,225.67339601,14120.11054073,222.65893656,13931.49947097,211.83428672,13254.21426592,203.20197103,12714.10074797,204.02409633,12765.54013063,215.80789236,13502.83794878
zion,3,2,7,4,814.34630051,56035.81630777,119.16601153,8199.90798493,119.77677127,8241.93484817,119.50532249,8223.25624229,118.48738959,8153.21147021,112.92268974,7770.30004950,109.86889104,7560.16573326,114.61924457,7887.04133630
zion,3,2,7,5,470.96743818,35423.27747328,67.74685463,5095.50222590,68.32650686,5139.10010591,68.07290901,5120.02603341,68.18159381,5128.20063591,67.52948504,5079.15302090,65.21087612,4904.76150087,65.89921314,4956.53398338
zion,3,2,7,6,297.73349980,24342.62446170,42.53335666,3477.51774300,42.53335666,3477.51774300,42.53335666,3477.51774300,42.53335666,3477.51774300,42.53335666,3477.51774300,42.53335666,3477.51774300,42.53335666,3477.51774300
zion,3,2,7,7,203.30750637,17972.17472608,29.56091111,2613.15417718,28.86966560,2552.04878377,28.65280426,2532.87846427,28.74768109,2541.26547905,28.70701959,2537.67104414,28.95098860,2559.23765358,29.81843395,2635.91893159
zion,3,2,7,8,112.65433878,10712.32758112,16.76437341,1594.12821253,16.27151069,1547.26178041,15.79977066,1502.40390967,15.73640260,1496.37822554,15.76456618,1499.05630738,15.87017962,1509.09911426,16.44753309,1563.99979189
zion,3,2,7,9,74.86738996,7622.02554320,11.08477724,1128.50808991,11.05835345,1125.81796335,10.67961255,1087.25948273,10.41537472,1060.35821718,10.36252715,1054.97796407,10.45941436,1064.84176143,10.80732751,1100.26176108
zion,3,2,7,10,53.82491409,5841.91286630,7.87936956,855.19115419,7.91525284,859.08576286,7.84946683,851.94564697,7.61323526,826.30613988,7.42484805,805.85944435,7.44278969,807.80674868,7.69995317,835.71811083
zion,3,2,7,11,41.79629569,4817.66198349,6.06266240,698.81451687,6.08246065,701.09656718,6.07366143,700.08232260,6.04066435,696.27890542,5.86028035,675.48689149,5.76128913,664.07663995,5.91527547,681.82592013
zion,3,2,7,12,32.16535513,3923.82757550,4.61572868,563.06928383,4.64146097,566.20834604,4.63020309,564.83500632,4.63502789,565.42358049,4.60607907,561.89213550,4.50314993,549.33588666,4.53370702,553.06352304
zion,3,2,7,13,24.17322993,3111.14988920,3.45331853,444.44997941,3.45331853,444.44997941,3.45331853,444.44997941,3.45331853,444.44997941,3.45331853,444.44997941,3.45331853,444.44997941,3.45331853,444.44997941
zion,3,2,7,14,21.13682202,2861.95638151,3.05619233,413.81287777,3.00719333,407.17834248,2.99182110,405.09691964,2.99854645,406.00754214,2.99566416,405.61727535,3.01295792,407.95887605,3.07444686,416.28456739
