parkcode,quarter,resZone,resState,roadDistance,adultVisits,adultVisitsViaRoad,adultVisitsViaAir,apcode1,adultVisitsAirport1,apcode2,adultVisitsAirport2,apcode3,adultVisitsAirport3,apcode4,adultVisitsAirport4,apcode5,adultVisitsAirport5,apcode6,adultVisitsAirport6,apcode7,adultVisitsAirport7,apcode8,adultVisitsAirport8,apcode9,adultVisitsAirport9,apcode10,adultVisitsAirport10,apcode11,adultVisitsAirport11,apcode12,adultVisitsAirport12,apcode13,adultVisitsAirport13,apcode14,adultVisitsAirport14,apcode15,adultVisitsAirport15,apcode16,adultVisitsAirport16,apcode17,adultVisitsAirport17,apcode18,adultVisitsAirport18,apcode19,adultVisitsAirport19,apcode20,adultVisitsAirport20,apcode21,adultVisitsAirport21,apcode22,adultVisitsAirport22,apcode23,adultVisitsAirport23,apcode24,adultVisitsAirport24,apcode25,adultVisitsAirport25,apcode26,adultVisitsAirport26
zion,3,21,4,340,222.83469002,222.83469002,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,22,4,347,205.11835162,205.11835162,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,23,4,355,252.47613213,252.47613213,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,24,4,352,158.52077766,158.52077766,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,25,4,357,115.45028648,115.45028648,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,26,4,361,203.53644209,203.53644209,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,27,4,358,154.20113326,154.20113326,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,28,4,350,118.42696854,118.42696854,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,29,4,355,110.29722722,110.29722722,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
zion,3,30,4,350,149.31093831,149.31093831,0.00000000,SGU,0.00000000,CDC,0.00000000,LAS,0.00000000,SLC,0.00000000,PHX,0.00000000,DEN,0.00000000,LAX,0.00000000,SFO,0.00000000,GJT,0.00000000,SAN,0.00000000,FLG,0.00000000,ABQ,0.00000000,JAC,0.00000000,SNA,0.00000000,MTJ,0.00000000,TUS,0.00000000,BZN,0.00000000,RAP,0.00000000,ONT,0.00000000,COS,0.00000000,EKO,0.00000000,ASE,0.00000000,DFW,0.00000000,SEA,0.00000000,DRO,0.00000000,EGE,0.00000000
