zone	zone_sqm	hholds	persons	adults	ffamcu6	ffamc6p	famnoc	fnonfam	fage017	fage1834	fage3549	fage5064	fage6579	fage80up	fwhite	fblack	fhisp	asian	fothrc	f0veh	fwathome	femployed	fincu25	finc2550	finc5075	finc75100	finc100150	finc150200	finco200	state	popden	empden	enteden	fracwater	fracprotl	coast	elevation	avgtemp1	maxtemp1	mintemp1	avgprec1	avgtemp2	maxtemp2	mintemp2	avgprec2	avgtemp3	maxtemp3	mintemp3	avgprec3	avgtemp4	maxtemp4	mintemp4	avgprec4
3480	1557	3876	8719	7331	0.075851	0.126161	0.539474	0.258514	0.159193	0.130061	0.141759	0.27916	0.239706	0.05012	0.937564	0.000774	0.031734	0.003096	0.031734	0.022188	0.052804	0.542491	0.20743	0.217234	0.197884	0.156347	0.140867	0.052374	0.027864	46	10.6	2.1	0.4	0	0.5	0	1683.5	28	38.4	17.6	17.8	49.7	61.1	38.3	74.7	63.4	76.2	50.6	61.9	34	44.5	23.5	19.8
3481	708.63	2258	5457	4199	0.091674	0.124446	0.385297	0.398583	0.23053	0.162544	0.16291	0.204508	0.165659	0.07385	0.819752	0.019486	0.021258	0	0.144376	0.018601	0.043027	0.642058	0.187334	0.262179	0.192205	0.149247	0.135075	0.03853	0.03543	46	7.9	3.1	0.6	0	0	0	541.6	22.4	32.7	12.1	16.4	56.3	68.9	43.9	65.6	69.5	82.5	56.6	56.8	33.5	44	23	24.6
3482	792.2	12896	34601	27543	0.118254	0.131669	0.282956	0.467122	0.203983	0.396838	0.141123	0.140979	0.090489	0.026589	0.929746	0.007212	0.022022	0.028846	0.020394	0.045596	0.053356	0.693389	0.193626	0.225729	0.184398	0.164547	0.160127	0.04071	0.030862	46	43.400002	23.6	2.8	0	0	0	499.6	19.5	28.9	10.1	17.9	55.4	65.9	44.9	82	66.9	77.8	56	91.9	32.1	42.1	22.1	31.5
3483	471.38	564	2026	1259	0.281915	0.262411	0.203901	0.251773	0.378578	0.23001	0.175716	0.143633	0.061204	0.010859	0.203901	0	0.015957	0	0.787234	0.157801	0.045455	0.471803	0.421986	0.235816	0.171986	0.120567	0.024823	0.01773	0.007092	46	4.4	0.9	0.2	0	0	0	501.7	21.7	33.4	10	14.8	56.5	69.4	43.6	77.3	69.5	82.9	56	72.3	33	45.5	20.6	21
3484	7665.5	4321	11552	8530	0.138162	0.194631	0.387642	0.279565	0.2616	0.19356	0.177978	0.187327	0.14742	0.032116	0.757001	0.001157	0.191391	0.001157	0.178431	0.037723	0.062871	0.592966	0.232816	0.317751	0.216617	0.100671	0.0891	0.013886	0.02916	16	6.6	1.5	0.1	0	0.8	0	689	38	47.7	28.2	26.1	60.1	73.8	46.4	26.7	72.5	88.8	56.2	8.5	41	51.9	30.1	24.3
3485	449.46	3707	11426	8545	0.197734	0.185055	0.282978	0.334233	0.252144	0.202783	0.24278	0.193419	0.08857	0.020305	0.861613	0	0.120583	0	0.091988	0.011869	0.13354	0.680047	0.142703	0.181818	0.190451	0.115727	0.250607	0.084165	0.034529	16	41.700001	11.2	2.3	0	0.4	0	1865.4	25.9	37.8	13.9	39.5	49.8	64.2	35.2	57.1	62.1	79.7	44.5	35.6	32.6	45.3	20	45.2
3486	406.87	8876	23260	17085	0.129225	0.200991	0.347679	0.322105	0.265477	0.178891	0.189424	0.18736	0.139854	0.038994	0.856354	0	0.107143	0.011379	0.078752	0.03256	0.035784	0.567574	0.200991	0.294389	0.189725	0.122352	0.143533	0.010703	0.038306	16	75.699997	20.9	1	0	0.3	0	664.9	37.1	46.8	27.4	25.1	60.8	74.5	47	22.3	73.6	89.6	57.6	8.3	40.3	50.7	29.9	27.9
3487	622.69	1798	4318	3291	0.141824	0.140712	0.408788	0.308676	0.237842	0.175313	0.158407	0.215609	0.164196	0.048634	0.979978	0	0.018354	0	0.005006	0.019466	0.077523	0.70161	0.151279	0.205784	0.275306	0.148498	0.131813	0.060623	0.026696	46	7	2.2	0.1	0	0	0	552.3	18.3	27.5	9	25.7	54.2	64.7	43.7	82.1	66.2	76.7	55.7	88.1	31.5	40.9	22	37.5
3488	1503.93	2624	6483	4909	0.120046	0.141768	0.373476	0.36471	0.242789	0.174611	0.15209	0.225976	0.138516	0.066019	0.96875	0.002287	0.012957	0.001143	0.015244	0.029345	0.107745	0.652271	0.143674	0.295351	0.197027	0.127668	0.115854	0.052591	0.067835	46	4.4	1.6	0.1	0	0	0	406.9	20	29.7	10.3	18.9	56.3	68.1	44.5	79.7	68.6	80.8	56.3	72.3	32.4	42.7	22	30.5
3489	460.55	6619	15368	11645	0.103037	0.19021	0.357003	0.349751	0.242257	0.190331	0.188899	0.204516	0.126952	0.047046	0.934582	0.011935	0.013899	0.01813	0.026288	0.019792	0.052014	0.680206	0.131289	0.228282	0.172231	0.126756	0.183109	0.060885	0.097447	46	33.299999	20.1	1.6	0	0	0	345.3	25.6	36.3	14.8	26.3	59.4	71.7	47.2	101.6	70.3	82.1	58.4	90.6	36.5	47.8	25.1	44
3490	2643.58	7995	22373	17410	0.098186	0.171857	0.353596	0.37636	0.22183	0.174049	0.193179	0.233183	0.14218	0.035579	0.842527	0	0.135835	0.009381	0.03252	0.024515	0.101317	0.697875	0.195372	0.233521	0.197874	0.125829	0.138462	0.054659	0.054284	16	39.200001	20.200001	5.1	0	0.8	0	1701.7	27.3	37.5	17.1	47.2	51.4	64.7	38.1	35	64.3	80.5	48	19.4	33.3	44.4	22.1	45.6
3491	1093.51	8791	28534	18897	0.215561	0.19975	0.383915	0.200774	0.337737	0.205334	0.181608	0.165732	0.092451	0.017137	0.891025	0	0.082926	0.008759	0.069958	0.012513	0.062676	0.675451	0.114321	0.22068	0.253782	0.148334	0.174383	0.049369	0.039131	16	56	13.1	0.4	0	0.5	0	1477.5	28.1	37.2	19	24.5	53.8	67.1	40.5	35.3	66.4	82	50.8	20.7	34.5	44.5	24.4	27.6
3492	957.6	1546	3685	2727	0.12031	0.114489	0.373221	0.391979	0.259973	0.18616	0.138128	0.204342	0.142741	0.068657	0.951488	0	0.025873	0.005175	0.027814	0.044631	0.152572	0.620095	0.249677	0.26326	0.205045	0.087322	0.119017	0.042691	0.032988	46	3.9	1	0.1	0	0	0	552.9	18.8	28.1	9.5	19.2	54.9	65.7	44.1	75.3	67	77.5	56.4	76.3	31.6	41.3	21.9	32.9
3493	848.09	16384	40217	31677	0.134033	0.150391	0.370728	0.344849	0.212348	0.218863	0.173534	0.199319	0.142029	0.053908	0.914917	0.00116	0.018311	0.004272	0.06543	0.060242	0.05353	0.597405	0.209961	0.226318	0.189087	0.146423	0.139343	0.05603	0.032837	16	61.5	33.599998	3.6	0	0.2	0	420.6	39.7	47.6	31.9	38.1	59.3	71.4	47.3	38	72.4	87.4	57.4	10.9	42.7	50.6	34.7	34.6
3494	1641.93	1397	3848	2716	0.173944	0.198282	0.320687	0.307087	0.294179	0.200364	0.152807	0.196985	0.114605	0.04106	0.677881	0	0.026485	0.002863	0.298497	0.069435	0.088889	0.613034	0.20043	0.245526	0.267001	0.130995	0.10451	0.034359	0.01718	46	2.5	0.8	0.2	0	0.1	0	483.4	25.6	37.6	13.5	17.2	57.8	71.3	44.3	75.4	71	84.9	57.1	64	35.6	48	23.3	23.6
3495	521.17	9445	22717	17905	0.123452	0.159873	0.343674	0.373002	0.211824	0.20412	0.184796	0.215345	0.136154	0.047762	0.92631	0.010058	0.028904	0.001906	0.035892	0.061938	0.043274	0.62854	0.184542	0.251562	0.212176	0.155003	0.1081	0.053997	0.034621	46	44	23.700001	2.4	0	0	0	359.7	26.7	36.9	16.5	28	59.9	71.7	48.2	97	71.5	83.2	59.8	79.4	37.2	48.2	26.2	45
3496	435.56	8660	19871	15456	0.11709	0.14157	0.349307	0.392032	0.222183	0.235569	0.167581	0.194605	0.117105	0.062956	0.926674	0.008776	0.040762	0.003811	0.037298	0.073788	0.036596	0.678895	0.195958	0.295612	0.162471	0.130254	0.137991	0.037298	0.040416	46	45.799999	28.1	3.2	0	0	0	396.5	25.5	35.2	15.9	16.2	59.2	70.6	47.8	75	70.9	82.6	59.1	65.6	35.9	46.4	25.4	28.9
3497	1863.91	858	3290	2251	0.188811	0.189977	0.351981	0.269231	0.315805	0.21307	0.151368	0.1769	0.112462	0.030395	0.582751	0	0.005828	0.008159	0.409091	0.106061	0.193909	0.437583	0.414918	0.286713	0.125874	0.076923	0.064103	0.006993	0.024476	46	2	0.3	0	0	0.1	0	719.9	29.8	42.3	17.4	17.1	58.3	72	44.6	73.2	72.5	87.7	57.2	39.1	37.7	50.5	24.7	23.5
3498	1006.82	569	1305	1009	0.098418	0.144112	0.420035	0.337434	0.22682	0.143295	0.165517	0.219157	0.173946	0.071264	0.97891	0	0.00703	0	0.02109	0.024605	0.122862	0.637265	0.193322	0.212654	0.217926	0.123023	0.151142	0.049209	0.052724	46	1.3	0.6	0.1	0.1	0	0	564.2	23.5	33.6	13.3	20	56.8	69.2	44.5	73.1	69.9	83.1	56.8	57	33.8	44.4	23.4	28.5
3499	728.97	5469	15148	10984	0.144816	0.201865	0.355458	0.297861	0.274888	0.195075	0.170055	0.193095	0.121138	0.045749	0.787713	0	0.192905	0.000366	0.047906	0.043152	0.074978	0.630189	0.206802	0.308283	0.224721	0.102395	0.102212	0.036753	0.018833	16	46.700001	18.1	0.8	0	0.6	0	883	36.3	46.4	26.2	27.2	58.2	72.8	43.5	18.6	70.3	88.6	51.9	5.2	39.8	51.2	28.3	29
3500	431.8	1220	2929	2208	0.12459	0.133607	0.466393	0.27541	0.246159	0.153977	0.138614	0.226357	0.146466	0.088426	0.954098	0	0.014754	0	0.031148	0.042623	0.12987	0.627717	0.181148	0.24918	0.191803	0.169672	0.140984	0.032787	0.034426	46	6.8	2.5	0.1	0	0	0	496.5	24.1	34.2	14.2	20.2	56.8	68.3	45.3	83.8	69.5	81.3	57.7	70.8	34.5	45.2	23.8	30.3
3501	1101.04	3873	10287	7493	0.167829	0.160341	0.336432	0.335399	0.271605	0.190823	0.149801	0.19374	0.14669	0.047341	0.68629	0.000516	0.024012	0.001549	0.295895	0.050349	0.051157	0.600027	0.243481	0.253034	0.194939	0.119287	0.102763	0.057578	0.028918	46	9.4	3.2	0.3	0	0	0	359.7	19	28.3	9.6	23.1	55.6	66.6	44.7	75.4	67.4	78.4	56.3	76.5	32.1	41.4	22.7	37.4
3502	1184.71	984	3425	2199	0.231707	0.156504	0.351626	0.260163	0.357956	0.227153	0.150657	0.148029	0.089635	0.026569	0.544715	0.002033	0.019309	0.006098	0.440041	0.07622	0.043478	0.512506	0.238821	0.297764	0.220528	0.096545	0.081301	0.034553	0.030488	46	3	0.7	0.1	0	0	0	901.6	28.4	41.7	15.1	21.7	55.3	69.2	41.4	80.6	69.5	84.8	54.1	56.6	35.8	50.1	21.6	23.7
3503	569.32	1010	2379	1807	0.19802	0.081188	0.424752	0.29604	0.240437	0.188314	0.150063	0.222362	0.149222	0.049601	0.964356	0	0.027723	0	0.016832	0.028713	0.157773	0.715551	0.146535	0.250495	0.246535	0.136634	0.118812	0.064356	0.036634	46	4.2	1.1	0	0	0	0	389.2	22.6	33.7	11.5	25.2	57.1	70.3	44	82.2	68.9	82	55.7	79.5	33.7	45.8	21.6	31.1
3504	570.31	948	2211	1660	0.093882	0.165612	0.35654	0.383966	0.249209	0.161013	0.15242	0.239258	0.128449	0.069652	0.983122	0.003165	0.001055	0.005274	0.007384	0.012658	0.115658	0.677108	0.181435	0.296414	0.21308	0.133966	0.117089	0.031646	0.026371	46	4	1.3	0.1	0	0	0	478.5	22.5	33	12	23.1	56.8	68.4	45.1	80.4	68.3	79.4	57.2	75.5	33.7	44.1	23.3	36.8
